2026-04-15 18:51:45.568 | INFO     | __main__:analyze_models:69 -   model.layers.18.self_attn.v_proj.weight: Sparsity: 83.25% | Rank: 1024/1024
2026-04-15 18:51:46.626 | INFO     | __main__:analyze_models:69 -   model.layers.18.mlp.down_proj.weight: Sparsity: 81.60% | Rank: 2560/2560
2026-04-15 18:51:46.863 | INFO     | __main__:analyze_models:69 -   model.layers.19.self_attn.v_proj.weight: Sparsity: 81.57% | Rank: 1024/1024
2026-04-15 18:51:47.929 | INFO     | __main__:analyze_models:69 -   model.layers.19.mlp.down_proj.weight: Sparsity: 81.72% | Rank: 2560/2560
2026-04-15 18:51:48.168 | INFO     | __main__:analyze_models:69 -   model.layers.20.self_attn.v_proj.weight: Sparsity: 82.55% | Rank: 1024/1024
2026-04-15 18:51:49.232 | INFO     | __main__:analyze_models:69 -   model.layers.20.mlp.down_proj.weight: Sparsity: 81.65% | Rank: 2560/2560
2026-04-15 18:51:49.469 | INFO     | __main__:analyze_models:69 -   model.layers.21.self_attn.v_proj.weight: Sparsity: 81.73% | Rank: 1024/1024
2026-04-15 18:51:50.527 | INFO     | __main__:analyze_models:69 -   model.layers.21.mlp.down_proj.weight: Sparsity: 81.38% | Rank: 2560/2560
2026-04-15 18:51:50.765 | INFO     | __main__:analyze_models:69 -   model.layers.22.self_attn.v_proj.weight: Sparsity: 80.33% | Rank: 1024/1024
2026-04-15 18:51:51.824 | INFO     | __main__:analyze_models:69 -   model.layers.22.mlp.down_proj.weight: Sparsity: 81.28% | Rank: 2560/2560
2026-04-15 18:51:52.061 | INFO     | __main__:analyze_models:69 -   model.layers.23.self_attn.v_proj.weight: Sparsity: 80.78% | Rank: 1024/1024
2026-04-15 18:51:53.119 | INFO     | __main__:analyze_models:69 -   model.layers.23.mlp.down_proj.weight: Sparsity: 81.47% | Rank: 2560/2560
2026-04-15 18:51:53.358 | INFO     | __main__:analyze_models:69 -   model.layers.24.self_attn.v_proj.weight: Sparsity: 79.81% | Rank: 1024/1024
2026-04-15 18:51:54.418 | INFO     | __main__:analyze_models:69 -   model.layers.24.mlp.down_proj.weight: Sparsity: 81.71% | Rank: 2560/2560
2026-04-15 18:51:54.654 | INFO     | __main__:analyze_models:69 -   model.layers.25.self_attn.v_proj.weight: Sparsity: 82.13% | Rank: 1024/1024
2026-04-15 18:51:55.714 | INFO     | __main__:analyze_models:69 -   model.layers.25.mlp.down_proj.weight: Sparsity: 81.91% | Rank: 2560/2560
2026-04-15 18:51:55.952 | INFO     | __main__:analyze_models:69 -   model.layers.26.self_attn.v_proj.weight: Sparsity: 82.25% | Rank: 1024/1024
2026-04-15 18:51:57.011 | INFO     | __main__:analyze_models:69 -   model.layers.26.mlp.down_proj.weight: Sparsity: 82.14% | Rank: 2560/2560
2026-04-15 18:51:57.248 | INFO     | __main__:analyze_models:69 -   model.layers.27.self_attn.v_proj.weight: Sparsity: 79.95% | Rank: 1024/1024
2026-04-15 18:51:58.306 | INFO     | __main__:analyze_models:69 -   model.layers.27.mlp.down_proj.weight: Sparsity: 82.37% | Rank: 2560/2560
2026-04-15 18:51:58.544 | INFO     | __main__:analyze_models:69 -   model.layers.28.self_attn.v_proj.weight: Sparsity: 82.77% | Rank: 1024/1024
2026-04-15 18:51:59.610 | INFO     | __main__:analyze_models:69 -   model.layers.28.mlp.down_proj.weight: Sparsity: 82.36% | Rank: 2560/2560
2026-04-15 18:51:59.847 | INFO     | __main__:analyze_models:69 -   model.layers.29.self_attn.v_proj.weight: Sparsity: 80.48% | Rank: 1024/1024
2026-04-15 18:52:00.906 | INFO     | __main__:analyze_models:69 -   model.layers.29.mlp.down_proj.weight: Sparsity: 82.68% | Rank: 2560/2560
2026-04-15 18:52:01.144 | INFO     | __main__:analyze_models:69 -   model.layers.30.self_attn.v_proj.weight: Sparsity: 80.68% | Rank: 1024/1024
2026-04-15 18:52:02.203 | INFO     | __main__:analyze_models:69 -   model.layers.30.mlp.down_proj.weight: Sparsity: 82.77% | Rank: 2560/2560
2026-04-15 18:52:02.440 | INFO     | __main__:analyze_models:69 -   model.layers.31.self_attn.v_proj.weight: Sparsity: 82.28% | Rank: 1024/1024
2026-04-15 18:52:03.499 | INFO     | __main__:analyze_models:69 -   model.layers.31.mlp.down_proj.weight: Sparsity: 83.20% | Rank: 2560/2560
2026-04-15 18:52:03.737 | INFO     | __main__:analyze_models:69 -   model.layers.32.self_attn.v_proj.weight: Sparsity: 81.29% | Rank: 1024/1024
2026-04-15 18:52:04.796 | INFO     | __main__:analyze_models:69 -   model.layers.32.mlp.down_proj.weight: Sparsity: 83.27% | Rank: 2560/2560
2026-04-15 18:52:05.033 | INFO     | __main__:analyze_models:69 -   model.layers.33.self_attn.v_proj.weight: Sparsity: 82.31% | Rank: 1024/1024
2026-04-15 18:52:06.093 | INFO     | __main__:analyze_models:69 -   model.layers.33.mlp.down_proj.weight: Sparsity: 83.39% | Rank: 2560/2560
